kind_a,key_a,kind_b,key_b,matches,wins,win_rate
ability,luna_lucent_beam,ability,luna_eclipse,3065,1448,0.472431
hero,obsidian_destroyer,ability,obsidian_destroyer_arcane_orb,2580,1332,0.516279
hero,kunkka,ability,kunkka_tidebringer,2321,1177,0.507109
ability,bristleback_quill_spray,ability,bristleback_bristleback,2243,1163,0.518502
ability,zuus_lightning_bolt,ability,zuus_thundergods_wrath,2148,1170,0.544693
hero,legion_commander,ability,legion_commander_duel,2000,1024,0.512000
ability,mirana_arrow,ability,mirana_starfall,1981,1036,0.522968
ability,gyrocopter_rocket_barrage,ability,gyrocopter_homing_missile,1960,1022,0.521429
ability,axe_berserkers_call,ability,axe_counter_helix,1948,1101,0.565195
hero,centaur,ability,centaur_return,1945,1063,0.546530
hero,ancient_apparition,ability,ancient_apparition_chilling_touch,1939,890,0.458999
hero,dark_willow,ability,dark_willow_shadow_realm,1864,1031,0.553112
hero,drow_ranger,ability,drow_ranger_multishot,1837,1000,0.544366
hero,nevermore,ability,nevermore_requiem,1836,1032,0.562092
hero,snapfire,ability,snapfire_lil_shredder,1833,939,0.512275
hero,ember_spirit,ability,ember_spirit_sleight_of_fist,1822,821,0.450604
ability,pangolier_swashbuckle,ability,pangolier_shield_crash,1808,880,0.486726
hero,axe,ability,axe_counter_helix,1802,962,0.533851
hero,axe,ability,axe_berserkers_call,1782,942,0.528620
hero,hoodwink,ability,hoodwink_acorn_shot,1745,942,0.539828
ability,naga_siren_mirror_image,ability,naga_siren_rip_tide,1729,999,0.577791
hero,magnataur,ability,magnataur_skewer,1704,872,0.511737
hero,gyrocopter,ability,gyrocopter_flak_cannon,1702,957,0.562280
hero,shadow_shaman,ability,shadow_shaman_shackles,1684,932,0.553444
hero,pangolier,ability,pangolier_swashbuckle,1661,751,0.452137
hero,necrolyte,ability,necrolyte_death_pulse,1655,776,0.468882
hero,centaur,ability,centaur_double_edge,1650,896,0.543030
hero,mars,ability,mars_gods_rebuke,1618,848,0.524104
hero,zuus,ability,zuus_lightning_bolt,1615,832,0.515170
hero,storm_spirit,ability,storm_spirit_ball_lightning,1609,819,0.509012
hero,pudge,ability,pudge_rot,1605,843,0.525234
hero,alchemist,ability,alchemist_acid_spray,1604,756,0.471322
ability,ancient_apparition_cold_feet,ability,ancient_apparition_ice_blast,1602,874,0.545568
hero,slardar,ability,slardar_slithereen_crush,1586,853,0.537831
hero,tinker,ability,tinker_rearm,1578,715,0.453105
hero,ogre_magi,ability,ogre_magi_fireblast,1573,799,0.507947
ability,phantom_lancer_phantom_edge,ability,phantom_lancer_juxtapose,1568,744,0.474490
hero,lone_druid,ability,lone_druid_spirit_link,1564,744,0.475703
hero,enchantress,ability,enchantress_impetus,1544,706,0.457254
hero,earthshaker,ability,earthshaker_aftershock,1542,906,0.587549
hero,void_spirit,ability,void_spirit_astral_step,1540,819,0.531818
hero,luna,ability,luna_moon_glaive,1535,937,0.610423
ability,queenofpain_shadow_strike,ability,queenofpain_scream_of_pain,1534,681,0.443937
hero,juggernaut,ability,juggernaut_omni_slash,1529,773,0.505559
hero,tusk,ability,tusk_walrus_punch,1509,799,0.529490
ability,legion_commander_moment_of_courage,ability,legion_commander_duel,1478,765,0.517591
hero,night_stalker,ability,night_stalker_crippling_fear,1478,862,0.583221
hero,skywrath_mage,ability,skywrath_mage_arcane_bolt,1476,717,0.485772
ability,shadow_shaman_ether_shock,ability,shadow_shaman_shackles,1471,756,0.513936
hero,bristleback,ability,bristleback_quill_spray,1456,710,0.487637
hero,earth_spirit,ability,earth_spirit_rolling_boulder,1455,834,0.573196
hero,spirit_breaker,ability,spirit_breaker_charge_of_darkness,1445,763,0.528028
hero,primal_beast,ability,primal_beast_trample,1434,785,0.547420
hero,zuus,ability,zuus_thundergods_wrath,1430,731,0.511189
ability,legion_commander_overwhelming_odds,ability,legion_commander_duel,1423,761,0.534786
hero,bristleback,ability,bristleback_bristleback,1423,729,0.512298
hero,doom_bringer,ability,doom_bringer_scorched_earth,1415,694,0.490459
hero,dawnbreaker,ability,dawnbreaker_fire_wreath,1414,741,0.524045
hero,silencer,ability,silencer_last_word,1407,699,0.496802
hero,arc_warden,ability,arc_warden_magnetic_field,1401,713,0.508922
ability,phantom_lancer_doppelwalk,ability,phantom_lancer_juxtapose,1397,773,0.553329
ability,storm_spirit_overload,ability,storm_spirit_ball_lightning,1390,734,0.528058
hero,batrider,ability,batrider_sticky_napalm,1382,690,0.499276
hero,lion,ability,lion_impale,1380,758,0.549275
hero,naga_siren,ability,naga_siren_mirror_image,1370,776,0.566423
hero,undying,ability,undying_tombstone,1360,697,0.512500
hero,undying,ability,undying_decay,1356,716,0.528024
hero,lich,ability,lich_chain_frost,1352,726,0.536982
hero,primal_beast,ability,primal_beast_uproar,1345,806,0.599257
hero,night_stalker,ability,night_stalker_darkness,1341,793,0.591350
ability,silencer_curse_of_the_silent,ability,silencer_global_silence,1335,669,0.501124
hero,dazzle,ability,dazzle_poison_touch,1332,613,0.460210
