kind,key,pool_appearances,deliberate_picks,pick_rate
ability,ursa_fury_swipes,4514,4514,1.000000
ability,faceless_void_time_lock,4654,4652,0.999570
ability,luna_moon_glaive,4514,4509,0.998892
ability,kunkka_tidebringer,4483,4478,0.998885
ability,queenofpain_blink,4573,4567,0.998688
ability,huskar_berserkers_blood,4533,4527,0.998676
ability,slardar_bash,4532,4526,0.998676
ability,dark_willow_shadow_realm,4480,4474,0.998661
ability,marci_unleash,4690,4683,0.998507
ability,antimage_mana_break,4586,4579,0.998474
ability,rubick_arcane_supremacy,4488,4481,0.998440
ability,zuus_arc_lightning,4512,4504,0.998227
ability,doom_bringer_infernal_blade,4668,4659,0.998072
ability,terrorblade_metamorphosis,4637,4628,0.998059
ability,tidehunter_anchor_smash,4619,4610,0.998052
ability,antimage_blink,4601,4592,0.998044
ability,ancient_apparition_chilling_touch,4499,4490,0.998000
ability,skeleton_king_mortal_strike,4535,4525,0.997795
ability,bloodseeker_thirst,4523,4513,0.997789
ability,bounty_hunter_jinada,4514,4504,0.997785
ability,snapfire_lil_shredder,4470,4460,0.997763
hero,lina,4410,4400,0.997732
ability,lion_finger_of_death,4710,4699,0.997665
ability,chaos_knight_chaos_strike,4658,4647,0.997638
ability,faceless_void_time_walk,4644,4633,0.997631
ability,crystal_maiden_frostbite,4637,4626,0.997628
ability,monkey_king_jingu_mastery,4585,4574,0.997601
ability,vengefulspirit_magic_missile,4554,4543,0.997585
ability,weaver_shukuchi,4489,4478,0.997550
ability,life_stealer_feast,4479,4468,0.997544
ability,pudge_meat_hook,4575,4563,0.997377
ability,sandking_burrowstrike,4493,4481,0.997329
ability,winter_wyvern_arctic_burn,4438,4426,0.997296
ability,lycan_feral_impulse,4654,4641,0.997207
ability,vengefulspirit_command_aura,4565,4552,0.997152
ability,weaver_geminate_attack,4508,4495,0.997116
ability,gyrocopter_flak_cannon,4494,4481,0.997107
ability,silencer_glaives_of_wisdom,4475,4462,0.997095
ability,spirit_breaker_greater_bash,4695,4681,0.997018
ability,templar_assassin_psi_blades,4608,4594,0.996962
ability,magnataur_empower,4557,4543,0.996928
ability,muerta_gunslinger,4492,4478,0.996883
ability,lina_fiery_soul,4477,4463,0.996873
ability,dragon_knight_elder_dragon_form,4759,4744,0.996848
ability,keeper_of_the_light_chakra_magic,4653,4638,0.996776
ability,ember_spirit_sleight_of_fist,4600,4585,0.996739
ability,undying_tombstone,4544,4529,0.996699
ability,alchemist_chemical_rage,4816,4800,0.996678
ability,abyssal_underlord_atrophy_aura,4506,4491,0.996671
ability,abaddon_frostmourne,4666,4650,0.996571
hero,obsidian_destroyer,4501,4485,0.996445
ability,earthshaker_enchant_totem,4499,4483,0.996444
ability,viper_poison_attack,4523,4506,0.996241
ability,troll_warlord_fervor,4517,4500,0.996236
ability,legion_commander_duel,4779,4761,0.996234
ability,viper_corrosive_skin,4507,4490,0.996228
ability,ursa_overpower,4506,4489,0.996227
ability,sven_great_cleave,4708,4690,0.996177
hero,nevermore,4394,4377,0.996131
ability,omniknight_hammer_of_purity,4589,4571,0.996078
ability,sven_storm_bolt,4704,4685,0.995961
ability,phantom_assassin_coup_de_grace,4677,4658,0.995938
ability,furion_teleportation,4671,4652,0.995932
ability,tiny_avalanche,4512,4493,0.995789
ability,phantom_assassin_phantom_strike,4497,4478,0.995775
ability,juggernaut_blade_fury,4575,4555,0.995628
ability,sniper_take_aim,4558,4538,0.995612
ability,windrunner_windrun,4555,4535,0.995609
ability,lion_impale,4559,4537,0.995174
ability,riki_backstab,4638,4615,0.995041
ability,slark_shadow_dance,4772,4747,0.994761
ability,shredder_reactive_armor,4571,4546,0.994531
ability,sniper_headshot,4555,4530,0.994512
ability,spectre_dispersion,4580,4554,0.994323
ability,medusa_split_shot,4561,4535,0.994299
ability,hoodwink_acorn_shot,4557,4531,0.994294
ability,undying_decay,4548,4522,0.994283
ability,mirana_leap,4583,4556,0.994109
ability,axe_counter_helix,4646,4618,0.993973
ability,razor_static_link,4571,4543,0.993874
ability,tusk_walrus_punch,4700,4671,0.993830
ability,spirit_breaker_charge_of_darkness,4690,4660,0.993603
ability,life_stealer_rage,4488,4459,0.993538
ability,chaos_knight_chaos_bolt,4659,4628,0.993346
ability,monkey_king_wukongs_command,4751,4718,0.993054
ability,jakiro_liquid_fire,2302,2286,0.993050
ability,juggernaut_blade_dance,4591,4559,0.993030
ability,enchantress_impetus,4518,4486,0.992917
ability,bounty_hunter_wind_walk,4512,4480,0.992908
ability,abyssal_underlord_firestorm,4505,4472,0.992675
ability,death_prophet_exorcism,4838,4802,0.992559
ability,brewmaster_drunken_brawler,4626,4591,0.992434
ability,drow_ranger_frost_arrows,4623,4588,0.992429
ability,abaddon_borrowed_time,4804,4767,0.992298
ability,skeleton_king_hellfire_blast,4540,4505,0.992291
ability,nyx_assassin_vendetta,4851,4813,0.992167
ability,sniper_assassinate,4725,4687,0.991958
ability,broodmother_insatiable_hunger,4505,4468,0.991787
ability,templar_assassin_refraction,4616,4577,0.991551
ability,monkey_king_boundless_strike,4581,4542,0.991487
ability,zuus_lightning_bolt,4519,4480,0.991370
ability,void_spirit_astral_step,4712,4671,0.991299
ability,phantom_lancer_juxtapose,4689,4647,0.991043
ability,dawnbreaker_luminosity,4570,4529,0.991028
ability,necrolyte_heartstopper_aura,4621,4576,0.990262
ability,clinkz_strafe,4613,4568,0.990245
ability,earthshaker_aftershock,4486,4442,0.990192
ability,beastmaster_wild_axes,4677,4631,0.990165
ability,morphling_waveform,4501,4455,0.989780
ability,muerta_pierce_the_veil,4650,4602,0.989677
ability,necrolyte_reapers_scythe,4787,4737,0.989555
hero,drow_ranger,4542,4493,0.989212
ability,skeleton_king_reincarnation,4625,4574,0.988973
ability,legion_commander_moment_of_courage,4635,4582,0.988565
ability,ogre_magi_bloodlust,4550,4497,0.988352
ability,pangolier_swashbuckle,4597,4542,0.988036
ability,phantom_assassin_stifling_dagger,4506,4452,0.988016
hero,silencer,4401,4348,0.987957
ability,clinkz_wind_walk,4801,4743,0.987919
hero,furion,4594,4538,0.987810
ability,abyssal_underlord_pit_of_malice,4509,4454,0.987802
ability,pudge_rot,4573,4517,0.987754
ability,doom_bringer_devour,4684,4625,0.987404
ability,death_prophet_spirit_siphon,4677,4618,0.987385
ability,primal_beast_uproar,4525,4464,0.986519
ability,broodmother_incapacitating_bite,4517,4456,0.986495
hero,sniper,4491,4427,0.985749
ability,juggernaut_omni_slash,4724,4656,0.985605
ability,tidehunter_kraken_shell,4605,4538,0.985451
ability,enigma_black_hole,4600,4533,0.985435
ability,witch_doctor_maledict,4627,4558,0.985088
ability,nyx_assassin_impale,4725,4653,0.984762
ability,riki_blink_strike,4476,4407,0.984584
ability,grimstroke_ink_creature,4551,4479,0.984179
ability,slark_pounce,4630,4552,0.983153
ability,enchantress_untouchable,4680,4600,0.982906
ability,dark_seer_ion_shell,4584,4505,0.982766
ability,medusa_mystic_snake,4564,4484,0.982472
ability,broodmother_spin_web,4503,4422,0.982012
hero,muerta,4440,4360,0.981982
ability,clinkz_searing_arrows,4611,4527,0.981783
ability,shadow_shaman_shackles,4574,4490,0.981635
ability,beastmaster_primal_roar,4844,4755,0.981627
ability,tidehunter_gush,4605,4520,0.981542
