kind,key,matches,wins,win_rate
ability,invoker_forge_spirit_ad,1290,837,0.648837
ability,earthshaker_aftershock,4455,2615,0.586981
ability,abaddon_borrowed_time,4798,2780,0.579408
hero,nevermore,4392,2531,0.576275
ability,skeleton_king_reincarnation,4609,2656,0.576264
ability,winter_wyvern_arctic_burn,4437,2544,0.573360
ability,spectre_dispersion,4571,2612,0.571429
hero,luna,4224,2408,0.570076
hero,medusa,4326,2465,0.569810
ability,weaver_shukuchi,4489,2556,0.569392
hero,night_stalker,4416,2505,0.567255
hero,leshrac,4458,2523,0.565949
ability,life_stealer_feast,4478,2531,0.565208
hero,drow_ranger,4527,2538,0.560636
ability,slark_shadow_dance,4766,2658,0.557700
ability,ancient_apparition_ice_blast,4531,2524,0.557051
hero,lina,4410,2456,0.556916
hero,morphling,4355,2418,0.555224
ability,tidehunter_kraken_shell,4566,2535,0.555191
hero,death_prophet,4569,2536,0.555045
ability,tiny_avalanche,4507,2500,0.554693
hero,tusk,3830,2123,0.554308
ability,nyx_assassin_spiked_carapace,4664,2576,0.552316
hero,primal_beast,4027,2224,0.552272
ability,enigma_midnight_pulse,2769,1529,0.552185
ability,naga_siren_mirror_image,4375,2413,0.551543
ability,shadow_demon_disruption,4313,2377,0.551125
ability,dark_willow_shadow_realm,4479,2466,0.550569
ability,lion_impale,4558,2509,0.550461
ability,magnataur_empower,4555,2505,0.549945
ability,bounty_hunter_wind_walk,4504,2475,0.549512
ability,lich_chain_frost,4522,2483,0.549093
hero,razor,4346,2386,0.549011
ability,bloodseeker_thirst,4523,2483,0.548972
hero,dragon_knight,4238,2326,0.548844
hero,earth_spirit,3476,1907,0.548619
ability,crystal_maiden_freezing_field,4424,2427,0.548599
ability,viper_corrosive_skin,4503,2464,0.547191
ability,marci_bodyguard,4490,2453,0.546325
ability,luna_moon_glaive,4514,2464,0.545857
ability,necrolyte_heartstopper_aura,4591,2504,0.545415
ability,witch_doctor_voodoo_restoration,2058,1122,0.545190
ability,elder_titan_natural_order,4360,2370,0.543578
ability,alchemist_chemical_rage,4815,2609,0.541848
ability,abyssal_underlord_firestorm,4488,2429,0.541221
ability,queenofpain_blink,4573,2473,0.540783
ability,treant_leech_seed,4588,2472,0.538797
ability,oracle_fortunes_end,4293,2313,0.538784
ability,abyssal_underlord_pit_of_malice,4482,2410,0.537706
hero,gyrocopter,4313,2318,0.537445
ability,juggernaut_blade_fury,4573,2457,0.537284
ability,nevermore_dark_lord,4408,2366,0.536751
ability,undying_flesh_golem,4649,2495,0.536675
ability,wisp_tether,3214,1724,0.536403
ability,primal_beast_uproar,4494,2407,0.535603
ability,techies_reactive_tazer,3699,1981,0.535550
ability,chaos_knight_phantasm,4181,2239,0.535518
ability,sniper_shrapnel,4415,2361,0.534768
ability,sandking_sand_storm,4322,2310,0.534475
ability,treant_overgrowth,4741,2532,0.534065
ability,sven_storm_bolt,4704,2511,0.533801
hero,wisp,3820,2039,0.533770
ability,kunkka_ghostship,3941,2103,0.533621
ability,crystal_maiden_frostbite,4637,2474,0.533535
ability,spirit_breaker_charge_of_darkness,4683,2497,0.533205
hero,snapfire,4347,2317,0.533011
ability,axe_berserkers_call,4570,2435,0.532823
hero,largo,3749,1997,0.532675
hero,hoodwink,4365,2324,0.532417
hero,rubick,4294,2285,0.532138
ability,zuus_lightning_bolt,4501,2395,0.532104
hero,centaur,4304,2290,0.532063
ability,nevermore_requiem,2141,1139,0.531994
ability,axe_counter_helix,4634,2464,0.531722
ability,dragon_knight_dragon_tail,4365,2317,0.530813
ability,shadow_shaman_shackles,4509,2392,0.530495
ability,invoker_cold_snap_ad,1282,680,0.530421
ability,disruptor_thunder_strike,3785,2007,0.530251
ability,tidehunter_anchor_smash,4615,2447,0.530228
hero,mars,3806,2018,0.530215
ability,dark_willow_bramble_maze,4295,2277,0.530151
ability,grimstroke_ink_creature,4516,2394,0.530115
ability,vengefulspirit_command_aura,4564,2419,0.530018
ability,muerta_pierce_the_veil,4638,2458,0.529970
ability,earth_spirit_magnetize,1408,746,0.529830
ability,undying_tombstone,4538,2404,0.529749
hero,shadow_shaman,3606,1908,0.529118
ability,faceless_void_time_walk,4644,2457,0.529070
ability,night_stalker_crippling_fear,4066,2151,0.529021
ability,tusk_snowball,4445,2350,0.528684
ability,grimstroke_soul_chain,4175,2207,0.528623
ability,shredder_reactive_armor,4566,2412,0.528252
hero,batrider,4251,2245,0.528111
hero,bloodseeker,3866,2041,0.527936
hero,sven,3640,1920,0.527473
ability,abyssal_underlord_atrophy_aura,4504,2375,0.527309
hero,terrorblade,3941,2077,0.527024
ability,lich_sinister_gaze,4122,2172,0.526929
ability,omniknight_martyr,4158,2190,0.526696
ability,phantom_lancer_doppelwalk,4458,2348,0.526694
ability,leshrac_pulse_nova,4318,2274,0.526633
ability,warlock_rain_of_chaos,4499,2368,0.526339
ability,bane_fiends_grip,4714,2481,0.526305
ability,void_spirit_astral_step,4690,2468,0.526226
ability,riki_backstab,4630,2436,0.526134
ability,templar_assassin_refraction,4606,2423,0.526053
ability,lycan_feral_impulse,4654,2447,0.525784
ability,death_prophet_spirit_siphon,4641,2440,0.525749
hero,skeleton_king,3711,1950,0.525465
ability,jakiro_ice_path,4205,2208,0.525089
ability,spectre_haunt,4231,2220,0.524699
ability,luna_lunar_orbit,4019,2106,0.524011
ability,phantom_assassin_immaterial,4399,2304,0.523755
ability,silencer_glaives_of_wisdom,4472,2340,0.523256
ability,windrunner_windrun,4555,2383,0.523161
ability,pudge_rot,4530,2367,0.522517
hero,warlock,3883,2028,0.522277
ability,monkey_king_wukongs_command,4737,2474,0.522271
hero,omniknight,4000,2088,0.522000
ability,naga_siren_rip_tide,3142,1640,0.521961
ability,bristleback_bristleback,4282,2234,0.521719
ability,riki_smoke_screen,3961,2065,0.521333
ability,legion_commander_press_the_attack,4110,2142,0.521168
ability,spectre_spectral_dagger,3781,1970,0.521026
ability,tidehunter_ravage,4643,2419,0.520999
hero,treant,4292,2236,0.520969
hero,slardar,3058,1592,0.520602
ability,vengefulspirit_magic_missile,4553,2370,0.520536
ability,gyrocopter_flak_cannon,4490,2337,0.520490
ability,omniknight_purification,3816,1986,0.520440
ability,huskar_berserkers_blood,4533,2359,0.520406
ability,juggernaut_healing_ward,1655,861,0.520242
ability,life_stealer_rage,4485,2333,0.520178
ability,enchantress_natures_attendants,3425,1781,0.520000
ability,dragon_knight_elder_dragon_form,4755,2472,0.519874
ability,mirana_arrow,4429,2302,0.519756
hero,pugna,4453,2314,0.519650
ability,enigma_black_hole,4558,2368,0.519526
ability,abaddon_aphotic_shield,4314,2241,0.519471
ability,lone_druid_true_form,4046,2101,0.519278
hero,earthshaker,3914,2031,0.518906
ability,lycan_shapeshift,4533,2352,0.518862
ability,doom_bringer_infernal_blade,4666,2421,0.518860
hero,abyssal_underlord,2840,1473,0.518662
ability,troll_warlord_whirling_axes_melee,3599,1866,0.518477
ability,razor_plasma_field,4296,2227,0.518389
ability,kunkka_torrent,3576,1853,0.518177
ability,clinkz_wind_walk,4786,2479,0.517969
ability,void_spirit_aether_remnant,3514,1820,0.517928
ability,batrider_firefly,3665,1898,0.517872
ability,legion_commander_overwhelming_odds,4424,2291,0.517857
ability,undying_decay,4544,2353,0.517826
ability,dawnbreaker_solar_guardian,4404,2280,0.517711
ability,antimage_blink,4601,2381,0.517496
ability,storm_spirit_ball_lightning,4389,2271,0.517430
ability,witch_doctor_paralyzing_cask,4543,2350,0.517279
hero,arc_warden,4297,2222,0.517105
ability,marci_unleash,4690,2425,0.517058
ability,arc_warden_flux,3920,2025,0.516582
ability,snapfire_mortimer_kisses,4054,2093,0.516280
ability,bloodseeker_blood_bath,3687,1903,0.516138
ability,lycan_howl,2924,1509,0.516074
ability,grimstroke_spirit_walk,3920,2022,0.515816
ability,techies_land_mines,4429,2284,0.515692
hero,obsidian_destroyer,4499,2320,0.515670
ability,centaur_hoof_stomp,4443,2291,0.515643
hero,monkey_king,4044,2085,0.515579
ability,rubick_telekinesis,2163,1115,0.515488
hero,ogre_magi,4432,2284,0.515343
ability,chaos_knight_chaos_bolt,4657,2399,0.515139
